I10 Dx	MDC	DRG(s)	ICD-10-CM Description
M02029	8	553-554	"Arthropathy following intestinal bypass, unspecified elbow"
M02031	8	553-554	"Arthropathy following intestinal bypass, right wrist"
M02032	8	553-554	"Arthropathy following intestinal bypass, left wrist"
M02039	8	553-554	"Arthropathy following intestinal bypass, unspecified wrist"
M02041	8	553-554	"Arthropathy following intestinal bypass, right hand"
M02042	8	553-554	"Arthropathy following intestinal bypass, left hand"
M02049	8	553-554	"Arthropathy following intestinal bypass, unspecified hand"
M02051	8	553-554	"Arthropathy following intestinal bypass, right hip"
M02052	8	553-554	"Arthropathy following intestinal bypass, left hip"
M02059	8	553-554	"Arthropathy following intestinal bypass, unspecified hip"
M02061	8	553-554	"Arthropathy following intestinal bypass, right knee"
M02062	8	553-554	"Arthropathy following intestinal bypass, left knee"
M02069	8	553-554	"Arthropathy following intestinal bypass, unspecified knee"
M02071	8	553-554	"Arthropathy following intestinal bypass, right ankle and foot"
M02072	8	553-554	"Arthropathy following intestinal bypass, left ankle and foot"
M02079	8	553-554	"Arthropathy following intestinal bypass, unspecified ankle and foot"
M0208	8	553-554	"Arthropathy following intestinal bypass, vertebrae"
M0209	8	553-554	"Arthropathy following intestinal bypass, multiple sites"
M0210	8	553-554	"Postdysenteric arthropathy, unspecified site"
M02111	8	553-554	"Postdysenteric arthropathy, right shoulder"
M02112	8	553-554	"Postdysenteric arthropathy, left shoulder"
M02119	8	553-554	"Postdysenteric arthropathy, unspecified shoulder"
M02121	8	553-554	"Postdysenteric arthropathy, right elbow"
M02122	8	553-554	"Postdysenteric arthropathy, left elbow"
M02129	8	553-554	"Postdysenteric arthropathy, unspecified elbow"
M02131	8	553-554	"Postdysenteric arthropathy, right wrist"
M02132	8	553-554	"Postdysenteric arthropathy, left wrist"
M02139	8	553-554	"Postdysenteric arthropathy, unspecified wrist"
M02141	8	553-554	"Postdysenteric arthropathy, right hand"
M02142	8	553-554	"Postdysenteric arthropathy, left hand"
M02149	8	553-554	"Postdysenteric arthropathy, unspecified hand"
M02151	8	553-554	"Postdysenteric arthropathy, right hip"
M02152	8	553-554	"Postdysenteric arthropathy, left hip"
M02159	8	553-554	"Postdysenteric arthropathy, unspecified hip"
M02161	8	553-554	"Postdysenteric arthropathy, right knee"
M02162	8	553-554	"Postdysenteric arthropathy, left knee"
M02169	8	553-554	"Postdysenteric arthropathy, unspecified knee"
M02171	8	553-554	"Postdysenteric arthropathy, right ankle and foot"
M02172	8	553-554	"Postdysenteric arthropathy, left ankle and foot"
M02179	8	553-554	"Postdysenteric arthropathy, unspecified ankle and foot"
M0218	8	553-554	"Postdysenteric arthropathy, vertebrae"
M0219	8	553-554	"Postdysenteric arthropathy, multiple sites"
M0220	8	553-554	"Postimmunization arthropathy, unspecified site"
M02211	8	553-554	"Postimmunization arthropathy, right shoulder"
M02212	8	553-554	"Postimmunization arthropathy, left shoulder"
M02219	8	553-554	"Postimmunization arthropathy, unspecified shoulder"
M02221	8	553-554	"Postimmunization arthropathy, right elbow"
M02222	8	553-554	"Postimmunization arthropathy, left elbow"
M02229	8	553-554	"Postimmunization arthropathy, unspecified elbow"
M02231	8	553-554	"Postimmunization arthropathy, right wrist"
M02232	8	553-554	"Postimmunization arthropathy, left wrist"
M02239	8	553-554	"Postimmunization arthropathy, unspecified wrist"
M02241	8	553-554	"Postimmunization arthropathy, right hand"
M02242	8	553-554	"Postimmunization arthropathy, left hand"
M02249	8	553-554	"Postimmunization arthropathy, unspecified hand"
M02251	8	553-554	"Postimmunization arthropathy, right hip"
M02252	8	553-554	"Postimmunization arthropathy, left hip"
M02259	8	553-554	"Postimmunization arthropathy, unspecified hip"
M02261	8	553-554	"Postimmunization arthropathy, right knee"
M02262	8	553-554	"Postimmunization arthropathy, left knee"
M02269	8	553-554	"Postimmunization arthropathy, unspecified knee"
M02271	8	553-554	"Postimmunization arthropathy, right ankle and foot"
M02272	8	553-554	"Postimmunization arthropathy, left ankle and foot"
M02279	8	553-554	"Postimmunization arthropathy, unspecified ankle and foot"
M0228	8	553-554	"Postimmunization arthropathy, vertebrae"
M0229	8	553-554	"Postimmunization arthropathy, multiple sites"
M0230	8	545-547	"Reiter's disease, unspecified site"
M02311	8	545-547	"Reiter's disease, right shoulder"
M02312	8	545-547	"Reiter's disease, left shoulder"
M02319	8	545-547	"Reiter's disease, unspecified shoulder"
M02321	8	545-547	"Reiter's disease, right elbow"
M02322	8	545-547	"Reiter's disease, left elbow"
M02329	8	545-547	"Reiter's disease, unspecified elbow"
M02331	8	545-547	"Reiter's disease, right wrist"
M02332	8	545-547	"Reiter's disease, left wrist"
M02339	8	545-547	"Reiter's disease, unspecified wrist"
M02341	8	545-547	"Reiter's disease, right hand"
M02342	8	545-547	"Reiter's disease, left hand"
M02349	8	545-547	"Reiter's disease, unspecified hand"
M02351	8	545-547	"Reiter's disease, right hip"
M02352	8	545-547	"Reiter's disease, left hip"
M02359	8	545-547	"Reiter's disease, unspecified hip"
M02361	8	545-547	"Reiter's disease, right knee"
M02362	8	545-547	"Reiter's disease, left knee"
M02369	8	545-547	"Reiter's disease, unspecified knee"
M02371	8	545-547	"Reiter's disease, right ankle and foot"
M02372	8	545-547	"Reiter's disease, left ankle and foot"
M02379	8	545-547	"Reiter's disease, unspecified ankle and foot"
M0238	8	545-547	"Reiter's disease, vertebrae"
M0239	8	545-547	"Reiter's disease, multiple sites"
M0280	8	548-550	"Other reactive arthropathies, unspecified site"
M02811	8	548-550	"Other reactive arthropathies, right shoulder"
M02812	8	548-550	"Other reactive arthropathies, left shoulder"
M02819	8	548-550	"Other reactive arthropathies, unspecified shoulder"
M02821	8	548-550	"Other reactive arthropathies, right elbow"
M02822	8	548-550	"Other reactive arthropathies, left elbow"
M02829	8	548-550	"Other reactive arthropathies, unspecified elbow"
M02831	8	548-550	"Other reactive arthropathies, right wrist"
M02832	8	548-550	"Other reactive arthropathies, left wrist"
M02839	8	548-550	"Other reactive arthropathies, unspecified wrist"
M02841	8	548-550	"Other reactive arthropathies, right hand"
M02842	8	548-550	"Other reactive arthropathies, left hand"
M02849	8	548-550	"Other reactive arthropathies, unspecified hand"
M02851	8	548-550	"Other reactive arthropathies, right hip"
M02852	8	548-550	"Other reactive arthropathies, left hip"
M02859	8	548-550	"Other reactive arthropathies, unspecified hip"
M02861	8	548-550	"Other reactive arthropathies, right knee"
M02862	8	548-550	"Other reactive arthropathies, left knee"
M02869	8	548-550	"Other reactive arthropathies, unspecified knee"
M02871	8	548-550	"Other reactive arthropathies, right ankle and foot"
M02872	8	548-550	"Other reactive arthropathies, left ankle and foot"
M02879	8	548-550	"Other reactive arthropathies, unspecified ankle and foot"
M0288	8	548-550	"Other reactive arthropathies, vertebrae"
M0289	8	548-550	"Other reactive arthropathies, multiple sites"
M029	8	553-554	"Reactive arthropathy, unspecified"
M0500	8	545-547	"Felty's syndrome, unspecified site"
M05011	8	545-547	"Felty's syndrome, right shoulder"
M05012	8	545-547	"Felty's syndrome, left shoulder"
M05019	8	545-547	"Felty's syndrome, unspecified shoulder"
M05021	8	545-547	"Felty's syndrome, right elbow"
M05022	8	545-547	"Felty's syndrome, left elbow"
M05029	8	545-547	"Felty's syndrome, unspecified elbow"
M05031	8	545-547	"Felty's syndrome, right wrist"
M05032	8	545-547	"Felty's syndrome, left wrist"
M05039	8	545-547	"Felty's syndrome, unspecified wrist"
M05041	8	545-547	"Felty's syndrome, right hand"
M05042	8	545-547	"Felty's syndrome, left hand"
M05049	8	545-547	"Felty's syndrome, unspecified hand"
M05051	8	545-547	"Felty's syndrome, right hip"
M05052	8	545-547	"Felty's syndrome, left hip"
M05059	8	545-547	"Felty's syndrome, unspecified hip"
M05061	8	545-547	"Felty's syndrome, right knee"
M05062	8	545-547	"Felty's syndrome, left knee"
M05069	8	545-547	"Felty's syndrome, unspecified knee"
M05071	8	545-547	"Felty's syndrome, right ankle and foot"
M05072	8	545-547	"Felty's syndrome, left ankle and foot"
M05079	8	545-547	"Felty's syndrome, unspecified ankle and foot"
M0509	8	545-547	"Felty's syndrome, multiple sites"
M0510	4	196-198	Rheumatoid lung disease with rheumatoid arthritis of unspecified site
M05111	4	196-198	Rheumatoid lung disease with rheumatoid arthritis of right shoulder
M05112	4	196-198	Rheumatoid lung disease with rheumatoid arthritis of left shoulder
M05119	4	196-198	Rheumatoid lung disease with rheumatoid arthritis of unspecified shoulder
M05121	4	196-198	Rheumatoid lung disease with rheumatoid arthritis of right elbow
M05122	4	196-198	Rheumatoid lung disease with rheumatoid arthritis of left elbow
M05129	4	196-198	Rheumatoid lung disease with rheumatoid arthritis of unspecified elbow
M05131	4	196-198	Rheumatoid lung disease with rheumatoid arthritis of right wrist
M05132	4	196-198	Rheumatoid lung disease with rheumatoid arthritis of left wrist
M05139	4	196-198	Rheumatoid lung disease with rheumatoid arthritis of unspecified wrist
M05141	4	196-198	Rheumatoid lung disease with rheumatoid arthritis of right hand
M05142	4	196-198	Rheumatoid lung disease with rheumatoid arthritis of left hand
M05149	4	196-198	Rheumatoid lung disease with rheumatoid arthritis of unspecified hand
M05151	4	196-198	Rheumatoid lung disease with rheumatoid arthritis of right hip
M05152	4	196-198	Rheumatoid lung disease with rheumatoid arthritis of left hip
M05159	4	196-198	Rheumatoid lung disease with rheumatoid arthritis of unspecified hip
M05161	4	196-198	Rheumatoid lung disease with rheumatoid arthritis of right knee
M05162	4	196-198	Rheumatoid lung disease with rheumatoid arthritis of left knee
M05169	4	196-198	Rheumatoid lung disease with rheumatoid arthritis of unspecified knee
M05171	4	196-198	Rheumatoid lung disease with rheumatoid arthritis of right ankle and foot
M05172	4	196-198	Rheumatoid lung disease with rheumatoid arthritis of left ankle and foot
M05179	4	196-198	Rheumatoid lung disease with rheumatoid arthritis of unspecified ankle and foot
M0519	4	196-198	Rheumatoid lung disease with rheumatoid arthritis of multiple sites
M0520	8	545-547	Rheumatoid vasculitis with rheumatoid arthritis of unspecified site
M05211	8	545-547	Rheumatoid vasculitis with rheumatoid arthritis of right shoulder
M05212	8	545-547	Rheumatoid vasculitis with rheumatoid arthritis of left shoulder
M05219	8	545-547	Rheumatoid vasculitis with rheumatoid arthritis of unspecified shoulder
M05221	8	545-547	Rheumatoid vasculitis with rheumatoid arthritis of right elbow
M05222	8	545-547	Rheumatoid vasculitis with rheumatoid arthritis of left elbow
M05229	8	545-547	Rheumatoid vasculitis with rheumatoid arthritis of unspecified elbow
M05231	8	545-547	Rheumatoid vasculitis with rheumatoid arthritis of right wrist
M05232	8	545-547	Rheumatoid vasculitis with rheumatoid arthritis of left wrist
M05239	8	545-547	Rheumatoid vasculitis with rheumatoid arthritis of unspecified wrist
M05241	8	545-547	Rheumatoid vasculitis with rheumatoid arthritis of right hand
M05242	8	545-547	Rheumatoid vasculitis with rheumatoid arthritis of left hand
M05249	8	545-547	Rheumatoid vasculitis with rheumatoid arthritis of unspecified hand
M05251	8	545-547	Rheumatoid vasculitis with rheumatoid arthritis of right hip
M05252	8	545-547	Rheumatoid vasculitis with rheumatoid arthritis of left hip
M05259	8	545-547	Rheumatoid vasculitis with rheumatoid arthritis of unspecified hip
M05261	8	545-547	Rheumatoid vasculitis with rheumatoid arthritis of right knee
M05262	8	545-547	Rheumatoid vasculitis with rheumatoid arthritis of left knee
M05269	8	545-547	Rheumatoid vasculitis with rheumatoid arthritis of unspecified knee
M05271	8	545-547	Rheumatoid vasculitis with rheumatoid arthritis of right ankle and foot
M05272	8	545-547	Rheumatoid vasculitis with rheumatoid arthritis of left ankle and foot
M05279	8	545-547	Rheumatoid vasculitis with rheumatoid arthritis of unspecified ankle and foot
M0529	8	545-547	Rheumatoid vasculitis with rheumatoid arthritis of multiple sites
M0530	8	545-547	Rheumatoid heart disease with rheumatoid arthritis of unspecified site
M05311	8	545-547	Rheumatoid heart disease with rheumatoid arthritis of right shoulder
M05312	8	545-547	Rheumatoid heart disease with rheumatoid arthritis of left shoulder
M05319	8	545-547	Rheumatoid heart disease with rheumatoid arthritis of unspecified shoulder
M05321	8	545-547	Rheumatoid heart disease with rheumatoid arthritis of right elbow
M05322	8	545-547	Rheumatoid heart disease with rheumatoid arthritis of left elbow
M05329	8	545-547	Rheumatoid heart disease with rheumatoid arthritis of unspecified elbow
M05331	8	545-547	Rheumatoid heart disease with rheumatoid arthritis of right wrist
M05332	8	545-547	Rheumatoid heart disease with rheumatoid arthritis of left wrist
M05339	8	545-547	Rheumatoid heart disease with rheumatoid arthritis of unspecified wrist
M05341	8	545-547	Rheumatoid heart disease with rheumatoid arthritis of right hand
M05342	8	545-547	Rheumatoid heart disease with rheumatoid arthritis of left hand
M05349	8	545-547	Rheumatoid heart disease with rheumatoid arthritis of unspecified hand
M05351	8	545-547	Rheumatoid heart disease with rheumatoid arthritis of right hip
M05352	8	545-547	Rheumatoid heart disease with rheumatoid arthritis of left hip
M05359	8	545-547	Rheumatoid heart disease with rheumatoid arthritis of unspecified hip
M05361	8	545-547	Rheumatoid heart disease with rheumatoid arthritis of right knee
M05362	8	545-547	Rheumatoid heart disease with rheumatoid arthritis of left knee
M05369	8	545-547	Rheumatoid heart disease with rheumatoid arthritis of unspecified knee
M05371	8	545-547	Rheumatoid heart disease with rheumatoid arthritis of right ankle and foot
M05372	8	545-547	Rheumatoid heart disease with rheumatoid arthritis of left ankle and foot
M05379	8	545-547	Rheumatoid heart disease with rheumatoid arthritis of unspecified ankle and foot
M0539	8	545-547	Rheumatoid heart disease with rheumatoid arthritis of multiple sites
M0540	8	545-547	Rheumatoid myopathy with rheumatoid arthritis of unspecified site
M05411	8	545-547	Rheumatoid myopathy with rheumatoid arthritis of right shoulder
M05412	8	545-547	Rheumatoid myopathy with rheumatoid arthritis of left shoulder
M05419	8	545-547	Rheumatoid myopathy with rheumatoid arthritis of unspecified shoulder
M05421	8	545-547	Rheumatoid myopathy with rheumatoid arthritis of right elbow
M05422	8	545-547	Rheumatoid myopathy with rheumatoid arthritis of left elbow
M05429	8	545-547	Rheumatoid myopathy with rheumatoid arthritis of unspecified elbow
M05431	8	545-547	Rheumatoid myopathy with rheumatoid arthritis of right wrist
M05432	8	545-547	Rheumatoid myopathy with rheumatoid arthritis of left wrist
M05439	8	545-547	Rheumatoid myopathy with rheumatoid arthritis of unspecified wrist
M05441	8	545-547	Rheumatoid myopathy with rheumatoid arthritis of right hand
M05442	8	545-547	Rheumatoid myopathy with rheumatoid arthritis of left hand
M05449	8	545-547	Rheumatoid myopathy with rheumatoid arthritis of unspecified hand
M05451	8	545-547	Rheumatoid myopathy with rheumatoid arthritis of right hip
M05452	8	545-547	Rheumatoid myopathy with rheumatoid arthritis of left hip
M05459	8	545-547	Rheumatoid myopathy with rheumatoid arthritis of unspecified hip
M05461	8	545-547	Rheumatoid myopathy with rheumatoid arthritis of right knee
M05462	8	545-547	Rheumatoid myopathy with rheumatoid arthritis of left knee
M05469	8	545-547	Rheumatoid myopathy with rheumatoid arthritis of unspecified knee
